Cityscale图像分割可视化统计报告
==================================================
权重文件: weights/SwinT_OA_Cityscale_best_loss.th
输入尺寸: (512, 512)
可视化样本数: 432
保存目录: results/cityscale
合并可视化图像: results/cityscale/sample_*.png
原始图像目录: results/cityscale/images/
真实掩码目录: results/cityscale/gt/
预测掩码目录: results/cityscale/pred/
--------------------------------------------------
平均性能指标:
Dice系数: 0.6483
IoU: 0.4941
F1分数: 0.6483
精确率: 0.6284
召回率: 0.6798
==================================================

各样本详细指标:
--------------------------------------------------
样本 169: Dice=0.651, IoU=0.482, F1=0.651, Precision=0.658, Recall=0.644
样本 170: Dice=0.591, IoU=0.420, F1=0.591, Precision=0.578, Recall=0.605
样本 171: Dice=0.839, IoU=0.723, F1=0.839, Precision=0.814, Recall=0.866
样本 172: Dice=0.682, IoU=0.518, F1=0.682, Precision=0.662, Recall=0.704
样本 173: Dice=0.736, IoU=0.582, F1=0.736, Precision=0.687, Recall=0.792
样本 174: Dice=0.681, IoU=0.516, F1=0.681, Precision=0.611, Recall=0.769
样本 175: Dice=0.756, IoU=0.608, F1=0.756, Precision=0.762, Recall=0.751
样本 176: Dice=0.638, IoU=0.469, F1=0.638, Precision=0.660, Recall=0.618
样本 177: Dice=0.712, IoU=0.553, F1=0.712, Precision=0.694, Recall=0.731
样本 178: Dice=0.643, IoU=0.473, F1=0.643, Precision=0.573, Recall=0.731
样本 179: Dice=0.663, IoU=0.496, F1=0.663, Precision=0.657, Recall=0.670
样本 180: Dice=0.661, IoU=0.494, F1=0.661, Precision=0.628, Recall=0.698
样本 181: Dice=0.543, IoU=0.372, F1=0.543, Precision=0.561, Recall=0.525
样本 182: Dice=0.649, IoU=0.480, F1=0.649, Precision=0.583, Recall=0.732
样本 183: Dice=0.630, IoU=0.460, F1=0.630, Precision=0.580, Recall=0.690
样本 184: Dice=0.700, IoU=0.539, F1=0.700, Precision=0.695, Recall=0.706
样本 185: Dice=0.805, IoU=0.673, F1=0.805, Precision=0.795, Recall=0.814
样本 186: Dice=0.585, IoU=0.413, F1=0.585, Precision=0.602, Recall=0.568
样本 187: Dice=0.621, IoU=0.450, F1=0.621, Precision=0.682, Recall=0.570
样本 188: Dice=0.727, IoU=0.571, F1=0.727, Precision=0.637, Recall=0.846
样本 189: Dice=0.733, IoU=0.579, F1=0.733, Precision=0.692, Recall=0.780
样本 190: Dice=0.533, IoU=0.364, F1=0.533, Precision=0.558, Recall=0.511
样本 191: Dice=0.779, IoU=0.638, F1=0.779, Precision=0.785, Recall=0.774
样本 192: Dice=0.571, IoU=0.399, F1=0.571, Precision=0.543, Recall=0.602
样本 193: Dice=0.752, IoU=0.602, F1=0.752, Precision=0.779, Recall=0.727
样本 194: Dice=0.637, IoU=0.467, F1=0.637, Precision=0.587, Recall=0.696
样本 195: Dice=0.822, IoU=0.698, F1=0.822, Precision=0.790, Recall=0.857
样本 196: Dice=0.699, IoU=0.537, F1=0.699, Precision=0.614, Recall=0.813
样本 197: Dice=0.762, IoU=0.615, F1=0.762, Precision=0.728, Recall=0.798
样本 198: Dice=0.411, IoU=0.259, F1=0.411, Precision=0.426, Recall=0.397
样本 199: Dice=0.635, IoU=0.465, F1=0.635, Precision=0.565, Recall=0.725
样本 200: Dice=0.702, IoU=0.541, F1=0.702, Precision=0.641, Recall=0.776
样本 201: Dice=0.754, IoU=0.606, F1=0.754, Precision=0.784, Recall=0.727
样本 202: Dice=0.753, IoU=0.603, F1=0.753, Precision=0.718, Recall=0.791
样本 203: Dice=0.686, IoU=0.522, F1=0.686, Precision=0.653, Recall=0.722
样本 204: Dice=0.648, IoU=0.479, F1=0.648, Precision=0.633, Recall=0.663
样本 205: Dice=0.716, IoU=0.558, F1=0.716, Precision=0.711, Recall=0.721
样本 206: Dice=0.554, IoU=0.383, F1=0.554, Precision=0.561, Recall=0.547
样本 207: Dice=0.724, IoU=0.568, F1=0.724, Precision=0.693, Recall=0.758
样本 208: Dice=0.855, IoU=0.747, F1=0.855, Precision=0.817, Recall=0.898
样本 209: Dice=0.627, IoU=0.457, F1=0.627, Precision=0.658, Recall=0.599
样本 210: Dice=0.580, IoU=0.409, F1=0.580, Precision=0.545, Recall=0.620
样本 211: Dice=0.796, IoU=0.662, F1=0.796, Precision=0.767, Recall=0.829
样本 212: Dice=0.727, IoU=0.571, F1=0.727, Precision=0.730, Recall=0.724
样本 213: Dice=0.525, IoU=0.356, F1=0.525, Precision=0.504, Recall=0.547
样本 214: Dice=0.642, IoU=0.472, F1=0.642, Precision=0.621, Recall=0.664
样本 215: Dice=0.491, IoU=0.326, F1=0.491, Precision=0.416, Recall=0.601
样本 216: Dice=0.728, IoU=0.573, F1=0.728, Precision=0.712, Recall=0.745
样本 217: Dice=0.572, IoU=0.401, F1=0.572, Precision=0.562, Recall=0.583
样本 218: Dice=0.405, IoU=0.254, F1=0.405, Precision=0.367, Recall=0.451
样本 219: Dice=0.591, IoU=0.420, F1=0.591, Precision=0.606, Recall=0.578
样本 220: Dice=0.408, IoU=0.256, F1=0.408, Precision=0.442, Recall=0.379
样本 221: Dice=0.558, IoU=0.387, F1=0.558, Precision=0.523, Recall=0.598
样本 222: Dice=0.709, IoU=0.549, F1=0.709, Precision=0.745, Recall=0.676
样本 223: Dice=0.656, IoU=0.488, F1=0.656, Precision=0.689, Recall=0.625
样本 224: Dice=0.568, IoU=0.396, F1=0.568, Precision=0.462, Recall=0.737
样本 225: Dice=0.789, IoU=0.651, F1=0.789, Precision=0.731, Recall=0.857
样本 226: Dice=0.670, IoU=0.504, F1=0.670, Precision=0.644, Recall=0.698
样本 227: Dice=0.723, IoU=0.566, F1=0.723, Precision=0.697, Recall=0.751
样本 228: Dice=0.509, IoU=0.342, F1=0.509, Precision=0.401, Recall=0.699
样本 229: Dice=0.794, IoU=0.658, F1=0.794, Precision=0.747, Recall=0.847
样本 230: Dice=0.417, IoU=0.263, F1=0.417, Precision=0.470, Recall=0.374
样本 231: Dice=0.697, IoU=0.535, F1=0.697, Precision=0.673, Recall=0.723
样本 232: Dice=0.659, IoU=0.492, F1=0.659, Precision=0.687, Recall=0.633
样本 233: Dice=0.544, IoU=0.374, F1=0.544, Precision=0.601, Recall=0.497
样本 234: Dice=0.643, IoU=0.473, F1=0.643, Precision=0.593, Recall=0.701
样本 235: Dice=0.634, IoU=0.464, F1=0.634, Precision=0.695, Recall=0.584
样本 236: Dice=0.626, IoU=0.456, F1=0.626, Precision=0.621, Recall=0.632
样本 237: Dice=0.556, IoU=0.385, F1=0.556, Precision=0.515, Recall=0.605
样本 238: Dice=0.602, IoU=0.430, F1=0.602, Precision=0.498, Recall=0.761
样本 239: Dice=0.550, IoU=0.379, F1=0.550, Precision=0.545, Recall=0.555
